"Time","Total Pressure","Current","Power","Remaining Capacity","Temp1","Temp2","Temp3","Temp4","SOC"
"9d19h1m15s","54.9","157","8619.3","13.287","24","24","24","24","96.119142222222"
"9d19h1m15s","54.6","157.2","8583.12","13.276","24","24","24","24","96.039567407407"
"9d19h1m15s","54.3","157.4","8546.82","13.265","24","24","24","24","95.959992592593"
"9d19h1m16s","54.1","144.4","7812.04","13.255","24","24","24","24","95.887651851852"
"9d19h1m16s","54.1","127.9","6919.39","13.246","24","24","24","24","95.822545185185"
"9d19h1m16s","54.3","113.1","6141.33","13.238","24","24","24","24","95.764672592593"
"9d19h1m16s","54.5","98.5","5368.25","13.231","24","24","24","24","95.714034074074"
"9d19h1m17s","54.8","41.7","2285.16","13.229","24","24","24","24","95.699565925926"
"9d19h1m17s","55.5","-0.7","-38.85","13.229","24","24","24","24","95.699565925926"
"9d19h1m17s","56.2","-0.2","-11.24","13.229","24","24","24","24","95.699565925926"
"9d19h1m17s","56.9","-0.2","-11.38","13.229","24","24","24","24","95.699565925926"
"9d19h1m18s","57.4","-0.2","-11.48","13.229","24","24","24","24","95.699565925926"
"9d19h1m18s","57.5","-0.2","-11.5","13.229","24","24","24","24","95.699565925926"
"9d19h1m18s","57.5","1.2","69","13.229","24","24","24","24","95.699565925926"
"9d19h1m18s","57.5","4.6","264.5","13.228","24","24","24","24","95.692331851852"
"9d19h1m19s","57.5","13.4","770.5","13.227","24","24","24","24","95.685097777778"
"9d19h1m19s","57.4","5.6","321.44","13.227","24","24","24","24","95.685097777778"
"9d19h1m19s","57.4","5.1","292.74","13.227","24","24","24","24","95.685097777778"
"9d19h1m19s","57.4","5","287","13.226","24","24","24","24","95.677863703704"
"9d19h1m20s","57.4","9.5","545.3","13.226","24","24","24","24","95.677863703704"
"9d19h1m20s","57.5","6.8","391","13.225","24","24","24","24","95.67062962963"
"9d19h1m20s","57.5","48.1","2765.75","13.221","24","24","24","24","95.641693333333"
"9d19h1m21s","57.2","73.4","4198.48","13.216","24","24","24","24","95.605522962963"
"9d19h1m21s","56.9","92.6","5268.94","13.21","24","24","24","24","95.562118518519"
"9d19h1m21s","56.3","50.6","2848.78","13.206","24","24","24","24","95.533182222222"
"9d19h1m21s","56.3","-0.8","-45.04","13.206","24","24","24","24","95.533182222222"
"9d19h1m22s","56.6","-0.2","-11.32","13.206","24","24","24","24","95.533182222222"
"9d19h1m22s","57","2.6","148.2","13.206","24","24","24","24","95.533182222222"
"9d19h1m22s","57.5","4.7","270.25","13.206","24","24","24","24","95.533182222222"
"9d19h1m22s","57.6","7.4","426.24","13.205","24","24","24","24","95.525948148148"
"9d19h1m23s","57.6","4.7","270.72","13.205","24","24","24","24","95.525948148148"
"9d19h1m23s","57.6","4.7","270.72","13.205","24","24","24","25","95.525948148148"
"9d19h1m23s","57.6","5.5","316.8","13.204","24","24","24","25","95.518714074074"
"9d19h1m23s","57.6","37.9","2183.04","13.202","24","24","24","25","95.504245925926"
"9d19h1m24s","57.4","1","57.4","13.202","24","24","24","25","95.504245925926"
"9d19h1m24s","57.4","1.9","109.06","13.201","24","24","24","25","95.497011851852"
"9d19h1m24s","57.4","4.4","252.56","13.201","24","24","24","25","95.497011851852"
"9d19h1m25s","57.4","42.3","2428.02","13.198","24","24","24","25","95.47530962963"
"9d19h1m25s","57.4","34.9","2003.26","13.196","24","24","24","25","95.460841481481"
"9d19h1m25s","57.3","2.9","166.17","13.196","24","24","24","25","95.460841481481"
"9d19h1m26s","57.3","5.5","315.15","13.195","24","24","24","25","95.453607407407"
"9d19h1m26s","57.6","5.1","293.76","13.195","24","24","24","25","95.453607407407"
"9d19h1m26s","57.6","28.1","1618.56","13.193","24","24","24","25","95.439139259259"
"9d19h1m26s","57.4","65.3","3748.22","13.188","24","24","24","25","95.402968888889"
"9d19h1m27s","57.1","84.9","4847.79","13.182","24","24","24","25","95.359564444444"
"9d19h1m27s","56.6","102.7","5812.82","13.175","24","24","24","25","95.308925925926"
"9d19h1m27s","56","119.8","6708.8","13.167","24","24","24","25","95.251053333333"
"9d19h1m27s","55.5","137.8","7647.9","13.157","24","24","24","25","95.178712592593"
"9d19h1m28s","55.1","154.8","8529.48","13.147","24","24","24","25","95.106371851852"
"9d19h1m28s","54.6","157.7","8610.42","13.136","25","24","24","25","95.026797037037"
"9d19h1m28s","54.3","157.9","8573.97","13.125","25","24","24","25","94.947222222222"
"9d19h1m28s","54","101.5","5481","13.118","25","24","24","25","94.896583703704"
"9d19h1m29s","54.3","-1.1","-59.73","13.118","25","24","24","25","94.896583703704"
"9d19h1m29s","55.1","-0.2","-11.02","13.118","25","24","24","25","94.896583703704"
"9d19h1m29s","56","-0.2","-11.2","13.118","25","24","24","25","94.896583703704"
"9d19h1m29s","56.9","-0.2","-11.38","13.118","25","24","24","25","94.896583703704"
"9d19h1m29s","57.3","0.2","11.46","13.118","25","24","24","25","94.896583703704"
"9d19h1m30s","57.4","4.6","264.04","13.117","25","24","24","25","94.88934962963"
"9d19h1m30s","57.4","7.5","430.5","13.117","25","24","24","25","94.88934962963"
"9d19h1m30s","57.4","10.9","625.66","13.116","25","24","24","25","94.882115555556"
"9d19h1m31s","57.3","65.9","3776.07","13.11","25","24","24","25","94.838711111111"
"9d19h1m31s","56.9","85","4836.5","13.104","25","24","24","25","94.795306666667"
"9d19h1m31s","56.5","103.8","5864.7","13.097","25","24","24","25","94.744668148148"
"9d19h1m32s","55.9","115.5","6456.45","13.089","25","24","24","25","94.686795555556"
"9d19h1m32s","55.3","8.9","492.17","13.088","25","24","24","25","94.679561481481"
"9d19h1m32s","55.7","-0.2","-11.14","13.088","25","24","24","25","94.679561481481"
"9d19h1m32s","56.1","3.4","190.74","13.088","25","24","24","25","94.679561481481"
"9d19h1m33s","56.7","8","453.6","13.087","25","24","24","25","94.672327407407"
"9d19h1m33s","57.3","7.9","452.67","13.087","25","24","24","25","94.672327407407"
"9d19h1m33s","57.3","8","458.4","13.086","25","24","24","25","94.665093333333"
"9d19h1m33s","57.3","8","458.4","13.086","25","24","24","25","94.665093333333"
"9d19h1m34s","57.3","7.9","452.67","13.085","25","24","24","25","94.657859259259"
"9d19h1m34s","57.3","7.9","452.67","13.084","25","24","24","25","94.650625185185"
"9d19h1m34s","57.3","50.9","2916.57","13.081","25","24","24","25","94.628922962963"
"9d19h1m34s","57","76.2","4343.4","13.076","25","24","24","25","94.592752592593"
"9d19h1m35s","56.6","4.5","254.7","13.075","25","24","24","25","94.585518518519"
"9d19h1m35s","56.6","1.2","67.92","13.075","25","24","24","25","94.585518518519"
"9d19h1m35s","56.7","7.2","408.24","13.075","25","24","24","25","94.585518518519"
"9d19h1m35s","57","8.2","467.4","13.074","25","24","24","25","94.578284444444"
"9d19h1m36s","57.4","19.2","1102.08","13.073","25","24","24","25","94.57105037037"
"9d19h1m36s","57.2","10.5","600.6","13.069","25","24","24","25","94.542114074074"
"9d19h1m36s","57.2","10.4","594.88","13.068","25","24","24","25","94.53488"
"9d19h1m37s","57.2","10.4","594.88","13.067","25","24","24","25","94.527645925926"
"9d19h1m37s","57.2","10.2","583.44","13.067","25","24","24","25","94.527645925926"
"9d19h1m37s","57.3","1.8","103.14","13.067","25","24","24","25","94.527645925926"
"9d19h1m37s","57.3","8.7","498.51","13.066","25","24","24","25","94.520411851852"
"9d19h1m38s","57.4","10","574","13.065","25","24","24","25","94.513177777778"
"9d19h1m38s","57.4","9.9","568.26","13.065","25","24","24","25","94.513177777778"
"9d19h1m38s","57.4","52","2984.8","13.061","25","24","24","25","94.484241481481"
"9d19h1m38s","57","99.3","5660.1","13.054","25","24","24","25","94.433602962963"
"9d19h1m39s","56.5","65.2","3683.8","13.05","25","24","24","25","94.404666666667"
"9d19h1m39s","56.3","18.5","1041.55","13.048","25","24","24","25","94.390198518519"
"9d19h1m39s","56.2","-1.5","-84.3","13.048","25","24","24","25","94.390198518519"
"9d19h1m39s","56.6","-0.2","-11.32","13.048","25","24","24","25","94.390198518519"
"9d19h1m40s","57.1","0.4","22.84","13.048","25","24","24","25","94.390198518519"
"9d19h1m40s","57.4","5.2","298.48","13.048","25","24","24","25","94.390198518519"
"9d19h1m40s","57.5","5.4","310.5","13.048","25","24","24","25","94.390198518519"
"9d19h1m40s","57.5","5.4","310.5","13.047","25","24","24","25","94.382964444444"
"9d19h1m41s","57.5","6.9","396.75","13.047","25","24","24","25","94.382964444444"
"9d19h1m41s","57.4","5.5","315.7","13.046","25","24","24","25","94.37573037037"
"9d19h1m41s","57.4","5.5","315.7","13.046","25","24","24","25","94.37573037037"
"9d19h1m42s","57.4","5.5","315.7","13.045","25","24","24","25","94.368496296296"
"9d19h1m42s","57.5","37.7","2167.75","13.043","25","24","24","25","94.354028148148"
"9d19h1m42s","57.2","71.6","4095.52","13.038","25","24","24","25","94.317857777778"
"9d19h1m42s","56.9","63.2","3596.08","13.033","25","24","24","25","94.281687407407"
"9d19h1m43s","56.6","13.2","747.12","13.032","25","24","24","25","94.274453333333"
"9d19h1m43s","56.6","12.5","707.5","13.031","25","24","24","25","94.267219259259"
"9d19h1m43s","56.7","12.5","708.75","13.031","25","24","24","25","94.267219259259"
"9d19h1m43s","57.1","12.5","713.75","13.03","25","24","24","25","94.259985185185"
"9d19h1m44s","57.2","12.5","715","13.029","25","24","24","25","94.252751111111"
"9d19h1m44s","57.3","12.4","710.52","13.028","25","24","24","25","94.245517037037"
"9d19h1m44s","57.3","12.5","716.25","13.027","25","24","24","25","94.238282962963"
"9d19h1m44s","57.3","12.5","716.25","13.026","25","24","24","25","94.231048888889"
"9d19h1m45s","57.3","12.5","716.25","13.025","25","24","24","25","94.223814814815"
"9d19h1m45s","57.3","30.3","1736.19","13.023","25","24","24","25","94.209346666667"
"9d19h1m45s","57.1","102","5824.2","13.016","25","24","24","25","94.158708148148"
"9d19h1m45s","56.6","121.5","6876.9","13.008","25","24","24","25","94.100835555556"
"9d19h1m46s","55.9","64.2","3588.78","13.003","25","24","24","25","94.064665185185"
"9d19h1m46s","55.9","-0.8","-44.72","13.003","25","24","24","25","94.064665185185"
"9d19h1m46s","56.2","0.4","22.48","13.003","25","24","24","25","94.064665185185"
"9d19h1m47s","57.4","2","114.8","13.003","25","24","24","25","94.064665185185"
"9d19h1m47s","57.5","6.1","350.75","13.003","25","24","24","25","94.064665185185"
"9d19h1m47s","57.5","5.8","333.5","13.002","25","24","24","25","94.057431111111"
"9d19h1m47s","57.4","5.8","332.92","13.002","25","24","24","25","94.057431111111"
