Time,Total Pressure,Current,Power,Remaining Capacity,Temp1,Temp2,Temp3,Temp4,SOC
8d20h48m16s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
8d20h48m17s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
8d20h48m17s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
8d20h48m17s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
8d20h48m18s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
8d20h48m18s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
8d20h48m18s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
8d20h48m18s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
8d20h48m19s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
8d20h48m19s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
8d20h48m19s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
8d20h48m19s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
8d20h48m20s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
8d20h48m20s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
8d20h48m20s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
8d20h48m20s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
8d20h48m21s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
8d20h48m21s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
8d20h48m21s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
8d20h48m22s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
8d20h48m22s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
8d20h48m22s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
8d20h48m22s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
8d20h48m23s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
8d20h48m23s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
8d20h48m23s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
8d20h48m23s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
8d20h48m24s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
8d20h48m24s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
8d20h48m24s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
8d20h48m24s,58.6,0.0,0.0,13.497,24,24,24,24,99.86
